,BP,canonical_smiles
159,374.8495317466909,CCCC(=O)C
160,366.8501466379216,CC(C)C(=O)C
161,374.84984825547485,CCC(=O)CC
162,351.8499593590168,CC1CCCO1
163,339.04930448644404,CCOCC=C
164,341.8358728663073,CC(C)OC=C
165,339.20059510400483,CC(=C)COC
166,341.83549868233064,CCCOC=C
167,408.54999024824014,C=CCCCO
168,396.8358817402821,CC=CC(C)O
169,393.0502498704094,CC=CC(C)O
170,388.5506295007167,CC(CC=C)O
171,396.8359552306289,CC(C)(C=C)O
172,396.8354178805896,CC(C(=C)C)O
173,388.0505488892076,CCC(C=C)O
174,360.8505077520346,C1CCOCC1
175,341.83553770896424,CCOC=CC
176,379.5496179257528,CCCCOC=O
177,372.8496239374653,CCCCOC=O
178,370.8500383770429,CC(C)COC=O
179,355.5499069990438,CC(C)(C)OC=O
180,374.55005431132486,CCCOC(=O)C
181,361.8504846843297,CC(C)OC(=O)C
182,372.0506552042276,C1=CC(=CC=C1O)Cl
183,374.850458074522,CCCC(=O)OC
184,364.84998374970286,CC(C)C(=O)OC
185,399.7992345468873,CCOC(=O)OCC
186,309.0602668913858,CCCCC
187,300.8302546651641,CCC(C)C
188,282.5006220743884,CC(C)(C)C
189,366.1673525190557,CC(C)C(C)O
190,374.95075252509696,CCC(C)(C)O
191,344.0502574487477,CCCCOC
192,332.0505878047004,CCC(C)OC
193,331.5505151047089,CC(C)COC
194,328.0498607766241,CC(C)(C)OC
195,336.650050169186,CCCOCC
196,326.3500836542324,CCOC(C)C
197,408.3026826686641,CCOCOCC
198,339.3360028687769,C#CC#CC#C
199,353.0700731351833,C1=CC=CC=C1
200,359.5505570109604,C=CC#CC=C
201,357.8498753719815,C=CC=CC#C
202,353.5497445633818,CC#CCC#C
203,358.8506404259137,C#CCCC#C
204,363.86295539624285,CCC#CC#C
205,348.4974226678338,CC1=CC=CC1
206,353.8504019379754,C1CC=CC=C1
207,348.4980781179924,C1C=CCC=C1
208,353.1503335907956,C=CC=CC=C
209,351.0504941912725,C=CC=CC=C
210,358.0506224489647,CCC#CC=C
